keys,en
material.terre.name,Dirt
material.pierre.name,Stone
material.chene.name,Oak
material.terre_fertile.name,Fertile soil
material.sable.name,Sand
material.gres.name,Sandstone
material.calcaire.name,Limestone
material.ardoise.name,Slate
material.basalte.name,Basalt
material.granit.name,Granite
material.granit_noir.name,Black granite
material.fer.name,Iron
material.pin.name,Pine
material.cuivre.name,Copper
material.feuilles_chene.name,Oak leaves
biome.plaine_temperee.name,Temperate plains
biome.foret_temperee.name,Temperate forest
biome.desert_aride.name,Arid desert
biome.montagne.name,Mountains
skill.minage.name,Mining
skill.bucheronnage.name,Woodcutting
skill.terrassement.name,Digging
skill.herboristerie.name,Herbalism
skill.collecte.name,Gathering
functionality.recolte_minage.name,Mining tool
functionality.recolte_bucheronnage.name,Woodcutting tool
functionality.recolte_terrassement.name,Digging tool
item.pioche.name,Pickaxe
item.hache.name,Axe
item.pelle.name,Shovel
ui.hud.fps,FPS: {fps}
ui.hud.chunks,Chunks: {meshes} shown · {cache} cached · {file} queued
ui.hud.meshing,Meshing: {moyen} ms average · {max} ms max
ui.hud.pos,"Position: {x}, {y}, {z}"
ui.hud.biome,Biome: {biome}
ui.hud.fertilite,"Fertility: {pct}%"
ui.hud.temperature,"Temperature: {deg}°C"
ui.hud.cible,Target: {materiau} — {progres} %
ui.hud.cible_rebond,Target: {materiau} — the tool bounces off!
ui.hud.outil,Tool: {outil}
ui.outil.mains_nues,bare hands
ui.hud.grille,Grid: {res} px
ui.toast.budget_subdivision,Detail limit reached in this area
ui.hud.controles1,WASD: walk · Space: jump · F: fly/walk
ui.hud.controles2,Left click (hold): harvest/carve/attack · Right click: place
ui.hud.controles3,1-9/wheel: select · Shift+1-9/wheel: bank · R: grid 32/16/8/4
ui.hud.controles4,J/K/L: modules · V: claim · B: role · M: map · Tab: inventory · F5: reload
ui.hud.controles5,T: list for sale (targeted stall) · G: collect gold (targeted stall) · F1: cheat menu
ui.toast.niveau,{competence} reached level {niveau}!
ui.toast.etal_vendu,Sold: {item} for {prix} gold
ui.toast.etal_stock,Listed for sale: {item} at {prix} gold
ui.toast.etal_collecte,Collected: {montant} gold
ui.inv.titre,Inventory
ui.inv.poids,Weight: {poids} / {capacite}
ui.inv.surcharge,OVERLOADED — speed reduced
ui.inv.competences,Skills
ui.inv.competence_ligne,{nom} — level {niveau} ({xp} / {xp_max} XP · potential {potentiel})
ui.inv.outil_ligne,{nom} (quality {qualite} · hardness {durete})
ui.inv.vide,(empty inventory)
skill.epee.name,Sword
skill.mains_nues.name,Bare Hands
skill.meditation.name,Meditation
skill.controle_mana.name,Mana Control
skill.esquive.name,Dodge
skill.encaissement.name,Toughness
functionality.morsure.name,Bite
functionality.epee.name,Sword
item.epee.name,Sword
module.trait_de_mana.name,Mana Bolt
module.soin_mineur.name,Minor Heal
module.frappe_lourde.name,Heavy Strike
module.morsure_simple.name,Bite
creature.sanglier.name,Boar
ui.hud.sante,HP: {pv} / {pv_max}
ui.hud.mana,Mana: {mana} / {mana_max}
ui.hud.or,Gold: {or}
ui.toast.creature_tuee,{creature} defeated!
functionality.mains_nues.name,Bare Hands
ui.hud.module,Module {slot}: {nom} ({cout} mana)
ui.role.base,Role: Base
ui.role.habitation,Role: Housing
ui.role.champs,Role: Farmland
ui.role.ressources_naturelles,Role: Natural Resources
ui.hud.cellule,"Cell {x},{z}: {statut}"
ui.hud.cellule_revendiquee,claimed ({role})
ui.hud.cellule_libre,unclaimed (V to claim)
ui.role_name.base,Base
ui.role_name.habitation,Housing
ui.role_name.champs,Farmland
ui.role_name.ressources_naturelles,Nat. Resources
ui.map.titre,World Map
ui.map.danger.0,Peaceful
ui.map.danger.1,Dangerous
ui.map.danger.2,Deadly
ui.map.aide,WASD: move view · Wheel: zoom (infinite) · L: change display · Click: fast travel · Esc: close
stat.force.name,Strength
stat.dexterite.name,Dexterity
stat.endurance.name,Endurance
stat.volonte.name,Willpower
stat.perception.name,Perception
stat.charisme.name,Charisma
material.sapin.name,Fir
material.aiguilles_sapin.name,Fir needles
material.bois_palmier.name,Palm wood
material.feuilles_palmier.name,Palm fronds
material.bois_baobab.name,Baobab wood
material.feuilles_baobab.name,Baobab leaves
tree.chene.name,Oak
tree.sapin.name,Fir
tree.palmier.name,Palm
tree.baobab.name,Baobab
material.eau.name,Water
material.epicea.name,Spruce
material.meleze.name,Larch
material.cedre.name,Cedar
material.hetre.name,Beech
material.bouleau.name,Birch
material.erable.name,Maple
material.frene.name,Ash
material.orme.name,Elm
material.if.name,Yew
material.noyer.name,Walnut
material.cerisier.name,Cherry
material.olivier.name,Olive
material.ebene.name,Ebony
material.gaiac.name,Lignum vitae
material.acajou.name,Mahogany
material.teck.name,Teak
material.balsa.name,Balsa
material.bambou.name,Bamboo
material.saule.name,Willow
material.liege.name,Cork
material.peuplier.name,Poplar
material.tilleul.name,Linden
material.charme.name,Hornbeam
material.robinier.name,Black locust
material.chataignier.name,Chestnut
material.platane.name,Plane tree
material.aulne.name,Alder
material.buis.name,Boxwood
material.cypres.name,Cypress
material.sequoia.name,Sequoia
material.acacia.name,Acacia
material.eucalyptus.name,Eucalyptus
material.pommier.name,Apple wood
material.noisetier.name,Hazel
material.bois_flotte.name,Driftwood
material.bois_calcine.name,Charred wood
material.etain.name,Tin
material.zinc.name,Zinc
material.bronze.name,Bronze
material.laiton.name,Brass
material.acier.name,Steel
material.acier_trempe.name,Hardened steel
material.argent.name,Silver
material.or.name,Gold
material.platine.name,Platinum
material.plomb.name,Lead
material.nickel.name,Nickel
material.cobalt.name,Cobalt
material.titane.name,Titanium
material.tungstene.name,Tungsten
material.aluminium.name,Aluminum
material.chrome.name,Chromium
material.manganese.name,Manganese
material.bismuth.name,Bismuth
material.antimoine.name,Antimony
material.diorite.name,Diorite
material.andesite.name,Andesite
material.dolomie.name,Dolomite
material.craie.name,Chalk
material.marbre.name,Marble
material.quartzite.name,Quartzite
material.schiste.name,Shale
material.gneiss.name,Gneiss
material.tuf_volcanique.name,Volcanic tuff
material.pierre_ponce.name,Pumice
material.obsidienne.name,Obsidian
material.silex.name,Flint
material.gypse.name,Gypsum
material.rhyolite.name,Rhyolite
material.peridotite.name,Peridotite
material.serpentinite.name,Serpentinite
material.travertin.name,Travertine
material.conglomerat.name,Conglomerate
material.breche_volcanique.name,Volcanic breccia
material.kimberlite.name,Kimberlite
material.calcite.name,Calcite
material.tourbe.name,Peat
