keys,fr
material.terre.name,Terre
material.pierre.name,Pierre
material.chene.name,Chêne
material.terre_fertile.name,Terre fertile
material.sable.name,Sable
material.gres.name,Grès
material.calcaire.name,Calcaire
material.ardoise.name,Ardoise
material.basalte.name,Basalte
material.granit.name,Granit
material.granit_noir.name,Granit noir
material.fer.name,Fer
material.pin.name,Pin
material.cuivre.name,Cuivre
material.feuilles_chene.name,Feuilles de chêne
biome.plaine_temperee.name,Plaine tempérée
biome.foret_temperee.name,Forêt tempérée
biome.desert_aride.name,Désert aride
biome.montagne.name,Montagne
skill.minage.name,Minage
skill.bucheronnage.name,Bûcheronnage
skill.terrassement.name,Terrassement
skill.herboristerie.name,Herboristerie
skill.collecte.name,Collecte
functionality.recolte_minage.name,Outil de minage
functionality.recolte_bucheronnage.name,Outil de bûcheronnage
functionality.recolte_terrassement.name,Outil de terrassement
item.pioche.name,Pioche
item.hache.name,Hache
item.pelle.name,Pelle
ui.hud.fps,FPS : {fps}
ui.hud.chunks,Chunks : {meshes} affichés · {cache} en cache · {file} en file
ui.hud.meshing,Meshing : {moyen} ms en moyenne · {max} ms max
ui.hud.pos,"Position : {x}, {y}, {z}"
ui.hud.biome,Biome : {biome}
ui.hud.fertilite,Fertilité : {pct}%
ui.hud.temperature,Température : {deg}°C
ui.hud.cible,Cible : {materiau} — {progres} %
ui.hud.cible_rebond,Cible : {materiau} — l'outil rebondit !
ui.hud.outil,Outil : {outil}
ui.outil.mains_nues,mains nues
ui.hud.grille,Grille : {res} px
ui.toast.budget_subdivision,Limite de détail atteinte dans cette zone
ui.toast.niveau,{competence} passe au niveau {niveau} !
ui.toast.etal_vendu,Vendu : {item} pour {prix} or
ui.toast.etal_stock,Mis en vente : {item} à {prix} or
ui.toast.etal_collecte,Récolté : {montant} or
ui.inv.titre,Inventaire
ui.inv.poids,Poids : {poids} / {capacite}
ui.inv.surcharge,SURCHARGE — vitesse réduite
ui.inv.competences,Compétences
ui.inv.competence_ligne,{nom} — niveau {niveau} ({xp} / {xp_max} XP · potentiel {potentiel})
ui.inv.outil_ligne,{nom} (qualité {qualite} · dureté {durete})
ui.inv.vide,(inventaire vide)
skill.epee.name,Épée
skill.mains_nues.name,Mains nues
skill.meditation.name,Méditation
skill.controle_mana.name,Contrôle du Mana
skill.esquive.name,Esquive
skill.encaissement.name,Encaissement
functionality.morsure.name,Morsure
functionality.epee.name,Épée
item.epee.name,Épée
module.trait_de_mana.name,Trait de mana
module.soin_mineur.name,Soin mineur
module.frappe_lourde.name,Frappe lourde
module.morsure_simple.name,Morsure
ui.hud.sante,PV : {pv} / {pv_max}
ui.hud.mana,Mana : {mana} / {mana_max}
ui.hud.or,Or : {or}
ui.toast.creature_tuee,{creature} vaincu !
functionality.mains_nues.name,Mains nues
ui.hud.module,Module {slot} : {nom} ({cout} mana)
ui.role.base,Rôle : Base
ui.role.habitation,Rôle : Habitation
ui.role.champs,Rôle : Champs
ui.role.ressources_naturelles,Rôle : Ressources naturelles
ui.hud.cellule,"Cellule {x},{z} : {statut}"
ui.hud.cellule_revendiquee,revendiquée ({role})
ui.hud.cellule_libre,libre (V pour revendiquer)
ui.role_name.base,Base
ui.role_name.habitation,Habitation
ui.role_name.champs,Champs
ui.role_name.ressources_naturelles,Ress. naturelles
ui.map.titre,Carte du monde
ui.map.danger.0,Paisible
ui.map.danger.1,Dangereuse
ui.map.danger.2,Mortelle
ui.map.aide,ZQSD : déplacer la vue · Molette : zoom (infini) · L : changer d'affichage · Clic : voyage rapide · Échap : fermer
stat.force.name,Force
stat.dexterite.name,Dextérité
stat.endurance.name,Endurance
stat.volonte.name,Volonté
stat.perception.name,Perception
stat.charisme.name,Charisme
material.sapin.name,Sapin
material.aiguilles_sapin.name,Aiguilles de sapin
material.bois_palmier.name,Bois de palmier
material.feuilles_palmier.name,Feuilles de palmier
material.bois_baobab.name,Bois de baobab
material.feuilles_baobab.name,Feuilles de baobab
tree.chene.name,Chêne
tree.sapin.name,Sapin
tree.palmier.name,Palmier
tree.baobab.name,Baobab
material.eau.name,Eau
material.epicea.name,Épicéa
material.meleze.name,Mélèze
material.cedre.name,Cèdre
material.hetre.name,Hêtre
material.bouleau.name,Bouleau
material.erable.name,Érable
material.frene.name,Frêne
material.orme.name,Orme
material.if.name,If
material.noyer.name,Noyer
material.cerisier.name,Cerisier
material.olivier.name,Olivier
material.ebene.name,Ébène
material.gaiac.name,Gaïac
material.acajou.name,Acajou
material.teck.name,Teck
material.balsa.name,Balsa
material.bambou.name,Bambou
material.saule.name,Saule
material.liege.name,Liège
material.peuplier.name,Peuplier
material.tilleul.name,Tilleul
material.charme.name,Charme
material.robinier.name,Robinier
material.chataignier.name,Châtaignier
material.platane.name,Platane
material.aulne.name,Aulne
material.buis.name,Buis
material.cypres.name,Cyprès
material.sequoia.name,Séquoia
material.acacia.name,Acacia
material.eucalyptus.name,Eucalyptus
material.pommier.name,Pommier
material.noisetier.name,Noisetier
material.bois_flotte.name,Bois flotté
material.bois_calcine.name,Bois calciné
material.etain.name,Étain
material.zinc.name,Zinc
material.bronze.name,Bronze
material.laiton.name,Laiton
material.acier.name,Acier
material.acier_trempe.name,Acier trempé
material.argent.name,Argent
material.or.name,Or
material.platine.name,Platine
material.plomb.name,Plomb
material.nickel.name,Nickel
material.cobalt.name,Cobalt
material.titane.name,Titane
material.tungstene.name,Tungstène
material.aluminium.name,Aluminium
material.chrome.name,Chrome
material.manganese.name,Manganèse
material.bismuth.name,Bismuth
material.antimoine.name,Antimoine
material.diorite.name,Diorite
material.andesite.name,Andésite
material.dolomie.name,Dolomie
material.craie.name,Craie
material.marbre.name,Marbre
material.quartzite.name,Quartzite
material.schiste.name,Schiste
material.gneiss.name,Gneiss
material.tuf_volcanique.name,Tuf volcanique
material.pierre_ponce.name,Pierre ponce
material.obsidienne.name,Obsidienne
material.silex.name,Silex
material.gypse.name,Gypse
material.rhyolite.name,Rhyolite
material.peridotite.name,Péridotite
material.serpentinite.name,Serpentinite
material.travertin.name,Travertin
material.conglomerat.name,Conglomérat
material.breche_volcanique.name,Brèche volcanique
material.kimberlite.name,Kimberlite
material.calcite.name,Calcite
material.tourbe.name,Tourbe
material.argile.name,Argile
material.gravier.name,Gravier
material.lin.name,Lin
material.coton.name,Coton
material.paille.name,Paille
material.chanvre.name,Chanvre
material.laine.name,Laine
material.soie.name,Soie
material.cuir.name,Cuir
material.fourrure.name,Fourrure
material.eau_salee.name,Eau salée
material.lave.name,Lave
material.huile.name,Huile
material.goudron.name,Goudron
material.boue.name,Boue
material.seve.name,Sève
material.houille.name,Houille
material.lignite.name,Lignite
material.anthracite.name,Anthracite
material.soufre.name,Soufre
material.salpetre.name,Salpêtre
material.sel_gemme.name,Sel gemme
material.graphite.name,Graphite
material.mica.name,Mica
material.pyrite.name,Pyrite
material.malachite.name,Malachite
material.argile_refractaire.name,Argile réfractaire
material.guano.name,Guano
material.tourbe_compactee.name,Tourbe compactée
material.bitume.name,Bitume
material.cinabre.name,Cinabre
material.ocre.name,Ocre
material.lapis_lazuli.name,Lapis-lazuli
material.turquoise.name,Turquoise
material.ambre.name,Ambre
material.fluorine.name,Fluorine
material.amiante.name,Amiante
material.phosphorite.name,Phosphorite
material.os_fossile.name,Os fossile
material.ammonite.name,Ammonite
material.bois_petrifie.name,Bois pétrifié
material.coquillage_fossile.name,Coquillage fossile
material.geode.name,Géode
material.meteorite_ferreuse.name,Météorite ferreuse
material.glace.name,Glace
material.neige.name,Neige
material.quartz.name,Quartz
material.amethyste.name,Améthyste
material.topaze.name,Topaze
material.grenat.name,Grenat
material.opale.name,Opale
material.jade.name,Jade
material.rubis.name,Rubis
material.saphir.name,Saphir
material.emeraude.name,Émeraude
material.diamant.name,Diamant
material.verre.name,Verre
material.brique.name,Brique
material.etal_de_vente.name,Étal de vente
material.chaume_tresse.name,Chaume tressé
material.papier.name,Papier
material.feuilles_bouleau.name,Feuilles de bouleau
material.feuilles_sequoia.name,Feuilles de séquoia
material.feuilles_saule.name,Feuilles de saule
tree.bouleau.name,Bouleau
tree.sequoia.name,Séquoia
tree.saule.name,Saule pleureur
material.feuilles_acacia.name,Feuilles de acacia
tree.acacia.name,Acacia
material.feuilles_acajou.name,Feuilles de acajou
tree.acajou.name,Acajou
material.feuilles_aulne.name,Feuilles de aulne
tree.aulne.name,Aulne
material.feuilles_balsa.name,Feuilles de balsa
tree.balsa.name,Balsa
material.feuilles_bambou.name,Feuilles de bambou
tree.bambou.name,Bambou
material.feuilles_buis.name,Feuilles de buis
tree.buis.name,Buis
material.feuilles_cedre.name,Feuilles de cèdre
tree.cedre.name,Cèdre
