keys,ja
biome.calotte_glaciaire.name,氷冠
biome.cote.name,海岸
biome.desert_aride.name,乾燥砂漠
biome.desert_froid.name,寒冷砂漠
biome.desert_rocheux.name,岩石砂漠
biome.foret_de_mana.name,マナの森
biome.foret_mixte.name,混交林
biome.foret_pluviale_temperee.name,温帯雨林
biome.foret_temperee.name,温帯林
biome.foret_tropicale_seche.name,熱帯乾燥林
biome.jungle_tropicale.name,熱帯ジャングル
biome.lande.name,荒野
biome.mangrove.name,マングローブ
biome.marais_froid.name,寒冷湿地
biome.marecage.name,沼地
biome.mediterraneen.name,地中海性気候
biome.montagne.name,山岳
biome.montagne_cristalline.name,水晶山脈
biome.plaine_temperee.name,温帯平原
biome.prairie.name,草原
biome.savane.name,サバンナ
biome.steppe.name,ステップ
biome.taiga.name,タイガ
biome.toundra.name,ツンドラ
category.bois.name,木材
category.construction.name,建材
category.cristal.name,結晶
category.fossile.name,化石
category.gaz.name,気体
category.lingot.name,インゴット
category.liquide.name,液体
category.meteorologique.name,気象
category.minerai.name,鉱石
category.mineral.name,鉱物
category.planches.name,板材
category.roche.name,岩石
category.station.name,作業台
category.synthetique.name,合成素材
category.terre.name,土
category.textile.name,織物
category.vegetal.name,植物繊維
class.artisan.name,職人
class.chasseur.name,狩人
class.guerrier.name,戦士
class.mage.name,魔法使い
class.marchand.name,商人
class.vagabond.name,放浪者
functionality.arbalete.name,クロスボウ
functionality.arc.name,弓
functionality.baton_magique.name,魔法の杖
functionality.dague.name,短剣
functionality.epee.name,剣
functionality.hache_arme.name,戦斧
functionality.lance.name,槍
functionality.mains_nues.name,素手
functionality.masse.name,メイス
functionality.morsure.name,噛みつき
functionality.recolte_bucheronnage.name,伐採道具
functionality.recolte_collecte.name,収集道具
functionality.recolte_herboristerie.name,採取道具
functionality.recolte_minage.name,採掘道具
functionality.recolte_terrassement.name,掘削道具
item.arbalete.name,クロスボウ
item.arc.name,弓
item.baton_magique.name,魔法の杖
item.bottes.name,ブーツ
item.casque.name,兜
item.cuirasse.name,胸当て
item.dague.name,短剣
item.epee.name,剣
item.faucille.name,鎌
item.gants.name,篭手
item.hache.name,斧
item.hache_arme.name,戦斧
item.jambieres.name,脛当て
item.lance.name,槍
item.masse.name,メイス
item.pelle.name,シャベル
item.pioche.name,つるはし
item.seau.name,バケツ
material.peau.name,皮
material.viande.name,肉
module.frappe_lourde.name,強打
module.morsure_simple.name,噛みつき
module.soin_mineur.name,小治癒
module.trait_de_mana.name,マナの矢
plant.algue.name,海藻
plant.ble.name,小麦
plant.calebasse.name,ひょうたん
plant.pomme_de_terre.name,ジャガイモ
plant.ronces.name,いばら
plant.safran.name,サフラン
race.cendreux.name,灰生まれ
race.echomorphe.name,エコーモルフ
race.elfe.name,エルフ
race.humain.name,人間
race.nain.name,ドワーフ
race.sylvide.name,シルヴィド
skill.arbalete.name,クロスボウ
skill.arc.name,弓
skill.baton_magique.name,魔法の杖
skill.bucheronnage.name,伐採
skill.collecte.name,採取
skill.controle_mana.name,マナ制御
skill.dague.name,短剣
skill.encaissement.name,頑強
skill.epee.name,剣
skill.esquive.name,回避
skill.forge.name,鍛冶
skill.hache_arme.name,戦斧
skill.herboristerie.name,薬草学
skill.lance.name,槍
skill.mains_nues.name,素手
skill.masse.name,メイス
skill.meditation.name,瞑想
skill.menuiserie.name,木工
skill.minage.name,採掘
skill.terrassement.name,掘削
stat.charisme.name,魅力
stat.dexterite.name,器用さ
stat.endurance.name,耐久力
stat.force.name,筋力
stat.perception.name,知覚
stat.volonte.name,意志力
ui.equipement.titre,装備
ui.equipement.vide,(なし)
ui.hud.biome,バイオーム: {biome}
ui.hud.fps,FPS: {fps}
ui.hud.grille,グリッド: {res} px
ui.hud.mana,マナ: {mana} / {mana_max}
ui.hud.or,所持金: {or}
ui.hud.outil,道具: {outil}
ui.hud.sante,HP: {pv} / {pv_max}
ui.inv.competences,スキル
ui.inv.poids,重量: {poids} / {capacite}
ui.inv.surcharge,重量超過 — 移動速度低下
ui.inv.titre,持ち物
ui.inv.vide,(持ち物なし)
ui.map.danger.0,平穏
ui.map.danger.1,危険
ui.map.danger.2,致命的
ui.map.titre,ワールドマップ
ui.outil.mains_nues,素手
ui.role_name.base,拠点
ui.role_name.champs,農地
ui.role_name.habitation,居住区
ui.role_name.ressources_naturelles,資源地
ui.slot.amulette,首飾り
ui.slot.dos,背中
ui.slot.jambes,脚
ui.slot.mains,手
ui.slot.pieds,足
ui.slot.tete,頭
ui.slot.torse,胴
ui.type.viande,肉
ui.type.peau,皮
ui.type.armure,防具
ui.type.ressource,資源
ui.menu.hotbar,ショートカットバー
ui.menu.hotbar_aide,アイテムを枠へドラッグ · 右クリックで解除 · ゲーム中は Ctrl+1-9 でバンク切替
ui.menu.hotbar_vide,空きスロット
ui.menu.hotbar_badge,[{banque}-{slot}]
ui.menu.action.infos,詳細
ui.menu.action.equiper,装備する
ui.menu.action.hotbar,バーに登録
ui.menu.action.banque,バンク {banque}
ui.menu.action.slot,スロット {slot}
ui.menu.action.retirer_hotbar,バーから外す
ui.menu.action.deposer,地面に置く
ui.menu.detail.nutrition,栄養：{faim}（生：{cru}）
ui.menu.detail.potentiel,{stat} の潜在能力：+{valeur}
ui.menu.detail.emplacement,装備部位：{slot}
ui.toast.depose,地面に置いた
ui.hud.controles3,1-9/ホイール：選択 · Ctrl+1-9/ホイール：バンク · R：グリッド 32/16/8/4
material.lit.name,ベッド
transformation.fab_lit.name,ベッドを作る
ui.toast.pas_de_lit,ベッドに照準を合わせてください
ui.toast.pas_la_nuit,夜しか眠れません
ui.toast.reveil,夜明けに目を覚ました。よく休めた
plat.viande_grillee.name,焼き肉
plat.ragout.name,シチュー
plat.pain.name,パン
plat.soupe_de_legumes.name,野菜スープ
skill.cuisine.name,料理
material.fourneau.name,かまど
transformation.fab_fourneau.name,かまどを作る
ui.toast.potentiel,潜在能力が向上：{details}
ui.menu.ouvrir_carte,ワールドマップを開く

ui.carte.heure,{heure} — {phase}
ui.phase.aube,夜明け
ui.phase.jour,昼
ui.phase.crepuscule,夕暮れ
ui.phase.nuit,夜
ui.menu.carte_aide,WASD：マスごとに移動（時間が経過）· L：レイヤー · Esc：閉じる
ui.donjon.tour,塔の中に足を踏み入れた…
ui.toast.incassable,このブロックは破壊できない
ui.menu.supprimer,削除
ui.menu.supprimer_confirme,「{monde}」を完全に削除しますか？元に戻せません。
ui.menu.nb_mondes,保存された世界：{nb}
material.chair_noire.name,黒い肉
material.os_calcine.name,焼けた骨
material.basalte_maudit.name,呪われた玄武岩
material.scorie_ardente.name,燃えるスラグ
material.croute_demoniaque.name,悪魔の外殻
